"","mh101","mh102","mh103","mh104","mh105","mh106","mh107","mh108","mh109","mh110"
"503",20904,5014,2256,1289,11548,17832,14231,21464,12637,12427
"504",21743,8918,6233,1988,11662,17660,16120,24497,12814,12349
"505",278338,112690,183888,83193,178173,216561,163533,217931,187415,170343
"506",299054,144232,58333,28233,40205,157828,174861,130944,74827,64684
"507",288191,140615,88151,29379,34469,62276,71755,87559,89125,81813
"508",340425,269733,417064,230084,322035,356765,215875,435429,179014,151267
"509",26000,33878,31553,14676,21639,26062,27317,32264,25758,14990
"510",25316,4841,8023,4549,9290,13616,20952,27757,15380,8349
"511",27838,33057,29337,23291,54588,47056,10176,14420,8906,5559
"512",26221,12599,21437,10824,17427,25993,33060,36319,25010,17217
"513",36973,25721,7596,3818,19220,27428,17806,24262,14876,9601
"514",39441,9365,2487,3108,17387,28067,18276,21172,13357,8858
"515",33218,5743,2944,1271,9100,18284,18155,25195,19246,13309
"516",34024,10364,6959,2659,12257,21404,18074,25711,16750,11022
"517",124969,36702,45000,17765,82884,122495,91703,117911,69195,81616
"518",135658,50146,15103,5656,16557,31723,31287,36823,26560,30943
"519",135053,45964,19072,5954,14011,34724,39035,72978,37541,44116
"520",164266,81776,112855,55259,163351,188794,109251,138943,62151,71361
"521",14873,21270,14994,6179,15852,24081,19059,22190,15734,14189
"522",13643,3044,3568,1673,6740,17398,18715,26381,12962,11019
"523",17209,22295,14454,8321,39285,33998,7720,11053,7458,6985
"524",15289,9014,10092,4314,13553,27788,23436,25510,14294,13058
"525",14859,9371,5276,2826,20106,20686,8360,10221,5845,5367
"526",15505,2762,1781,2385,18594,26109,11955,10678,4466,3982
"527",12513,1798,1846,1034,10116,16883,10138,13804,7622,7318
"528",12867,3385,4983,1692,11495,18709,11843,16342,6458,5700
"529",663225,622599,286849,81364,563307,459250,246764,370397,185719,179345
"530",506240,147133,205189,24015,119012,138763,108819,103147,80062,76210
"531",565758,605558,412236,60040,259396,243156,203137,266843,169864,151928
"532",514977,204929,176831,30414,140675,364355,359835,287671,238921,217059
